Entrada/Saída,Data,Movimentação,Produto,Instituição,Quantidade,Preço unitário,Valor da Operação
Credito,27/12/2021,Transferência - Liquidação,OIBR3        - OI S.A,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,600,"0,78",468
Credito,15/12/2021,Transferência - Liquidação,OIBR3        - OI S.A,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1700,"0,89",1513
Credito,14/12/2021,Rendimento,HCTR11       - HECTARE CE - FUNDO DE INVESTIMENTO IMOBILIÁRIO,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,150,"1,6",240
Credito,14/12/2021,Rendimento,MXRF11       - MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIARIO - FII,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2022,"0,08","161,76"
Debito,24/11/2021,Direitos de Subscrição - Não Exercido,HCTR12       - HECTARE CE - FUNDO DE INVESTIMENTO IMOBILIÁRIO,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,0,-,-
Debito,23/11/2021,Cessão de Direitos - Solicitada,HCTR12       - HECTARE CE - FUNDO DE INVESTIMENTO IMOBILIÁRIO,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,27,-,-
Credito,23/11/2021,Cessão de Direitos,HCTR12       - HECTARE CE - FUNDO DE INVESTIMENTO IMOBILIÁRIO,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,27,-,-
Credito,16/11/2021,Rendimento,HCTR11       - HECTARE CE - FUNDO DE INVESTIMENTO IMOBILIÁRIO,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,150,"1,6",240
Credito,16/11/2021,Rendimento,MXRF11       - MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIARIO - FII,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2022,"0,09","181,98"
Credito,09/11/2021,Direito de Subscrição,HCTR12       - HECTARE CE - FUNDO DE INVESTIMENTO IMOBILIÁRIO,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,27,-,-
Credito,03/11/2021,Transferência - Liquidação,OIBR3        - OI S.A,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1700,"0,91",1547
Debito,28/10/2021,Transferência - Liquidação,INEP3        - INEPAR S/A IND E CONSTRUCOES,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1400,"1,86",2604
Credito,15/10/2021,Rendimento,HCTR11       - HECTARE CE - FUNDO DE INVESTIMENTO IMOBILIÁRIO,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,150,"1,6",240
Credito,15/10/2021,Rendimento,MXRF11       - MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIARIO - FII,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2022,"0,08","161,76"
Credito,22/09/2021,Transferência - Liquidação,MXRF11       - MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIARIO - FII,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,34,"10,02","340,68"
Credito,20/09/2021,Transferência - Liquidação,INEP3        - INEPAR S/A IND E CONSTRUCOES,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1400,"2,2",3080
Debito,20/09/2021,Transferência - Liquidação,JBDU3        - INDUSTRIAS J. B. DUARTE S/A,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1200,"2,86",3432
Credito,15/09/2021,Rendimento,HCTR11       - HECTARE CE - FUNDO DE INVESTIMENTO IMOBILIÁRIO,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,150,"1,5",225
